A,B,S_struct
Building_05_DG.rdf,Building_06_DG.rdf,1.0
Option03_Revising_DG.rdf,Option04_Rev03_DG.rdf,0.9995361482556571
Building_05_DG.rdf,Freiform_Haus_DG.rdf,0.9941494895920948
Building_06_DG.rdf,Freiform_Haus_DG.rdf,0.9941494895920948
Building_06_DG.rdf,Option04_Rev03_DG.rdf,0.9931377717799708
Building_05_DG.rdf,Option04_Rev03_DG.rdf,0.9931377717799708
Building_05_DG.rdf,Option03_Revising_DG.rdf,0.9891155231408317
Building_06_DG.rdf,Option03_Revising_DG.rdf,0.9891155231408316
Freiform_Haus_DG.rdf,Option04_Rev03_DG.rdf,0.9746961261856343
Freiform_Haus_DG.rdf,Option03_Revising_DG.rdf,0.9674369441024293
