model,function,count
Building_05_DG.rdf,Bracing,0
Building_05_DG.rdf,LB,0
Building_05_DG.rdf,Moment,0
Building_05_DG.rdf,Shear,0
Building_06_DG.rdf,Bracing,0
Building_06_DG.rdf,LB,0
Building_06_DG.rdf,Moment,0
Building_06_DG.rdf,Shear,0
Freiform_Haus_DG.rdf,Bracing,0
Freiform_Haus_DG.rdf,LB,0
Freiform_Haus_DG.rdf,Moment,0
Freiform_Haus_DG.rdf,Shear,0
Option03_Revising_DG.rdf,Bracing,0
Option03_Revising_DG.rdf,LB,0
Option03_Revising_DG.rdf,Moment,0
Option03_Revising_DG.rdf,Shear,0
Option04_Rev03_DG.rdf,Bracing,0
Option04_Rev03_DG.rdf,LB,0
Option04_Rev03_DG.rdf,Moment,0
Option04_Rev03_DG.rdf,Shear,0
