model,motif,share
Building_05_DG.rdf,M2_frameNode,0.0055555555555555
Building_05_DG.rdf,M3_wallSlab,0.0111111111111111
Building_05_DG.rdf,M4_core,0.0044444444444444
Building_05_DG.rdf,M2b_braceNode,0.0022222222222222
Building_05_DG.rdf,M5_LB,0.0072992700729927
Building_05_DG.rdf,M5_Shear,0.0218978102189781
Building_05_DG.rdf,M5_Moment,0.0
Building_05_DG.rdf,M5_Bracing,0.0218978102189781
Building_06_DG.rdf,M2_frameNode,0.0081521739130434
Building_06_DG.rdf,M3_wallSlab,0.0163043478260869
Building_06_DG.rdf,M4_core,0.0065217391304347
Building_06_DG.rdf,M2b_braceNode,0.0032608695652173
Building_06_DG.rdf,M5_LB,0.0106382978723404
Building_06_DG.rdf,M5_Shear,0.0319148936170212
Building_06_DG.rdf,M5_Moment,0.0
Building_06_DG.rdf,M5_Bracing,0.0319148936170212
Freiform_Haus_DG.rdf,M2_frameNode,0.0097402597402597
Freiform_Haus_DG.rdf,M3_wallSlab,0.0155844155844155
Freiform_Haus_DG.rdf,M4_core,0.0077922077922077
Freiform_Haus_DG.rdf,M2b_braceNode,0.0038961038961038
Freiform_Haus_DG.rdf,M5_LB,0.0126582278481012
Freiform_Haus_DG.rdf,M5_Shear,0.0379746835443038
Freiform_Haus_DG.rdf,M5_Moment,0.0
Freiform_Haus_DG.rdf,M5_Bracing,0.0379746835443038
Option03_Revising_DG.rdf,M2_frameNode,0.0012953367875647
Option03_Revising_DG.rdf,M3_wallSlab,0.0036269430051813
Option03_Revising_DG.rdf,M4_core,0.0010362694300518
Option03_Revising_DG.rdf,M2b_braceNode,0.0005181347150259
Option03_Revising_DG.rdf,M5_LB,0.0017211703958691
Option03_Revising_DG.rdf,M5_Shear,0.0051635111876075
Option03_Revising_DG.rdf,M5_Moment,0.0
Option03_Revising_DG.rdf,M5_Bracing,0.0051635111876075
Option04_Rev03_DG.rdf,M2_frameNode,0.0016891891891891
Option04_Rev03_DG.rdf,M3_wallSlab,0.0043918918918918
Option04_Rev03_DG.rdf,M4_core,0.0013513513513513
Option04_Rev03_DG.rdf,M2b_braceNode,0.0006756756756756
Option04_Rev03_DG.rdf,M5_LB,0.0022421524663677
Option04_Rev03_DG.rdf,M5_Shear,0.0067264573991031
Option04_Rev03_DG.rdf,M5_Moment,0.0
Option04_Rev03_DG.rdf,M5_Bracing,0.0067264573991031
