token,count
class,5600
restriction,1930
objectproperty,1640
quantityvalue,562
annotationproperty,485
reinforcement,403
wallopening,403
measuredvalueexpression,349
thermalmass,281
heattransfercoefficient,281
thermalresistance,281
door,274
portionofhardenedconcrete,258
transitiveproperty,240
space,239
loadbearingfunction,174
axiom,135
functionalproperty,120
window,117
bathroom,72
fireresistance,68
datatypeproperty,60
symmetricproperty,45
structuralfunction,43
alldisjointclasses,30
storey,26
stair,20
inversefunctionalproperty,20
bedroom,15
unit,10
datatype,10
corridor,9
shaftopening,8
livingroom,6
building,5
asymmetricproperty,5
stairwell,4
kitchenanddiningroom,4
kitchen,2
