,2_Floor_Haus_BuildingArabic05.rdf,2_Floor_Haus_BuildingArabic06.rdf,2_Floor_Haus_Peri.rdf,2_Floor_RevitDemo_StructuralPlan_Building08.rdf,2_Floor_SlopedRoof_Revit-2026.rdf,7_Floor_Individualized Columns_Building04.rdf,8_Floor_Pattern Freeform Columns_Building03.rdf,Building_05_DG.rdf,Building_06_DG.rdf,DFAB_Analog_Building07.rdf
2_Floor_Haus_BuildingArabic05.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2_Floor_Haus_BuildingArabic06.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2_Floor_Haus_Peri.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2_Floor_RevitDemo_StructuralPlan_Building08.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2_Floor_SlopedRoof_Revit-2026.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
7_Floor_Individualized Columns_Building04.rdf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8_Floor_Pattern Freeform Columns_Building03.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Building_05_DG.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Building_06_DG.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
DFAB_Analog_Building07.rdf,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
